Region,Country,Standard rate,Notes,
North America,United States,N/A (no federal VAT),State/local sales tax varies by jurisdiction (~0%–10%+).,or 5%-10%
North America,Canada,GST 5%,Some provinces use HST 13–15%; others GST 5% + PST/QST.,
Europe,Germany,VAT 19%,Reduced 7% for some goods/services.,
Europe,United Kingdom,VAT 20%,Reduced 5% for some categories.,
Europe,France,VAT 20%,Reduced 10%/5.5%/2.1% for certain categories.,
Middle East,United Arab Emirates,VAT 5%,Standard rate.,
Middle East,Saudi Arabia,VAT 15%,Standard rate.,
Latin America,Mexico,IVA 16%,Border-zone incentive 8% in defined areas.,
Latin America,Brazil,N/A (no single VAT),Typical ICMS 17–20% + IPI/PIS/COFINS; reform to CBS/IBS in transition.,
Southeast Asia,Singapore,GST 9%,Standard rate from 2024-01-01.,
Southeast Asia,Thailand,VAT 7%,Temporarily reduced rate; periodically renewed.,
Southeast Asia,India,GST 18%,Standard slab; other slabs like 5% apply to some goods.,
Southeast Asia,Vietnam,VAT 10%,Many goods temporarily at 8% (currently extended).,
Southeast Asia,Indonesia,VAT 12%,Increased from 11% effective 2025-01-01.,
Southeast Asia,Malaysia,"SST (Sales 5%/10%, Services 8%)",Not a VAT system; rates vary by goods/services.,
Southeast Asia,Philippines,VAT 12%,Standard rate; exemptions/zero-rating for specific cases.,
Other,Australia,GST 10%,Standard rate.,
Other,Japan,Consumption Tax 10%,Reduced 8% for food and some items.,
Other,Korea (Republic of),VAT 10%,Standard rate.,
